Year,Month,Day,temp,humidity,precipitation,atemp,pressure,surface_pressure,cloud_cover,wind_speed,weather_code
2022,5,29,11.039833333333334,68.5305875,0.016666666666666666,8.199320833333333,1019.2291666666666,1016.4162500000001,30.6125,7.5484125,1.0
2022,5,30,10.9315,76.48955833333333,0.0625,8.604004166666668,1013.6125000000001,1010.8133333333334,76.34166666666667,6.4016125,3.0
2022,5,31,11.379416666666666,78.1735,0.14166666666666666,9.165641666666668,1012.5083333333333,1009.71625,64.72500000000001,6.721925,2.0
2022,6,1,12.327333333333334,72.32781250000001,0.0,10.490345833333334,1017.1,1014.305,58.46666666666667,4.701045833333333,2.0
2022,6,2,13.864833333333332,71.72705833333333,0.0,11.9587875,1020.1166666666667,1017.32875,46.55833333333334,6.392504166666666,1.0
2022,6,3,16.329416666666667,65.2059625,0.008333333333333333,13.951975,1017.8833333333333,1015.1245833333334,29.075,10.112420833333333,1.0
2022,6,4,14.83775,70.68787916666666,0.09999999999999999,11.197004166666666,1019.9208333333332,1017.1420833333333,61.449999999999996,15.365779166666668,2.0
2022,6,5,13.823166666666665,84.85116666666667,0.22083333333333333,12.577166666666665,1015.5375,1012.7616666666667,97.23333333333333,6.968825,51.0
2022,6,6,14.200249999999999,81.77943333333333,0.012500000000000002,12.800704166666668,1014.3458333333333,1011.5762500000001,96.47916666666667,7.414395833333334,3.0
2022,6,7,15.496083333333333,79.92854583333333,0.14583333333333334,14.7998375,1011.4791666666666,1008.7295833333333,48.85833333333333,5.724933333333333,3.0
2022,6,8,16.623166666666666,73.69775833333334,1.2166666666666666,14.554375,1005.6750000000001,1002.9529166666666,45.5375,11.522237500000001,2.0
2022,6,9,15.402333333333333,76.13323333333334,0.016666666666666666,13.338575,1015.1958333333333,1012.4362500000001,64.12083333333334,10.130691666666666,3.0
2022,6,10,17.644000000000002,70.600175,0.004166666666666667,15.365704166666667,1018.3874999999999,1015.64,58.699999999999996,12.566904166666667,2.0
2022,6,11,16.523166666666665,69.18590833333333,0.020833333333333332,14.029925,1021.5083333333333,1018.7416666666667,28.891666666666666,11.261504166666667,1.0
2022,6,12,15.579416666666667,67.16270416666667,0.0,13.157479166666667,1023.2958333333332,1020.5158333333334,31.087500000000002,9.350408333333332,1.0
2022,6,13,15.266916666666667,63.95865,0.0,13.525275,1024.4583333333333,1021.6716666666666,35.887499999999996,5.537370833333333,1.0
2022,6,14,16.750249999999998,66.588375,0.0,16.017779166666667,1020.9333333333334,1018.17,6.5125,4.824670833333333,0.0
2022,6,15,18.664833333333334,63.69609583333334,0.0,18.322991666666667,1018.5583333333334,1015.8195833333333,16.55,3.9692166666666666,0.0
2022,6,16,20.016916666666667,59.71403333333333,0.0,19.487704166666667,1021.5749999999999,1018.84125,27.7375,4.765345833333334,1.0
2022,6,17,23.419,52.27654999999999,0.008333333333333333,22.29925,1019.6166666666667,1016.9191666666667,17.425,9.392891666666666,0.0
2022,6,18,18.898166666666665,75.04427083333333,0.425,18.2325625,1017.3791666666666,1014.6454166666667,64.6875,9.230816666666668,27.0
2022,6,19,14.48775,69.43253750000001,0.041666666666666664,11.908183333333334,1014.975,1012.2066666666666,76.47500000000001,9.8311625,3.0
2022,6,20,15.614833333333332,66.44890416666667,0.024999999999999998,13.610008333333333,1018.4333333333334,1015.6666666666666,32.0875,8.474979166666666,0.5
2022,6,21,16.51275,66.63922916666667,0.0,15.550916666666666,1014.8916666666668,1012.1420833333333,20.099999999999998,4.4398,1.0
2022,6,22,18.244,63.7431,0.0,17.125275,1013.5749999999999,1010.8454166666667,5.4750000000000005,6.885133333333333,0.0
2022,6,23,18.169,70.441825,0.020833333333333332,17.5894625,1009.5958333333333,1006.8766666666667,31.195833333333336,5.806595833333333,1.0
2022,6,24,17.9815,72.22824166666666,0.11666666666666665,15.954683333333334,1004.5666666666666,1001.8604166666668,68.16250000000001,12.30995,3.0
2022,6,25,15.929416666666667,68.067975,0.016666666666666666,13.008725,1007.7833333333333,1005.0487499999999,45.025,12.574704166666665,2.0
2022,6,26,15.898166666666667,61.726191666666665,0.0,12.605516666666666,1012.1916666666666,1009.44375,36.104166666666664,12.425975000000001,1.0
2022,6,27,15.3315,65.3701125,0.08333333333333333,12.606554166666667,1016.0791666666668,1013.3166666666666,32.387499999999996,10.294833333333333,1.0
2022,6,28,15.944,65.28685833333334,0.008333333333333333,13.212975,1017.4916666666667,1014.73,44.612500000000004,10.788608333333334,1.0
